統計名：,令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）,,,,,,,,,,,,,,,
表番号：,2002/1/1,,,,,,,,,,,,,,,
表題：,[総人口・総世帯数・男女・年齢・配偶関係] 男女，年齢（各歳），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市,,,,,,,,,,,,,,,
実施年月：,2020年,10月,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Whole Japan,0.0085,0.0088,0.0089,0.0091,0.0092,0.0093,0.0093,0.0095,0.0095,0.0094,0.0096,0.0096,0.0095,0.0096,0.0096,0.0098
Kyoto city,0.0074,0.0076,0.0080,0.0101,0.0128,0.0137,0.0139,0.0131,0.0120,0.0115,0.0109,0.0104,0.0100,0.0098,0.0096,0.0098
Osaka city,0.0068,0.0070,0.0072,0.0080,0.0089,0.0094,0.0099,0.0109,0.0122,0.0128,0.0133,0.0135,0.0133,0.0133,0.0129,0.0130
Kobe city,0.0081,0.0083,0.0085,0.0091,0.0095,0.0097,0.0097,0.0096,0.0091,0.0089,0.0086,0.0085,0.0084,0.0085,0.0085,0.0088
